"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"NAA38",0.12190187019343,0.281293042675955,0.154,0.117,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TKT",0.121924046988542,0.242174915526735,0.643,0.595,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ATP6V1G1",0.122422763587646,-0.244309452101249,0.298,0.321,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SORCS2",0.122687984044352,0.477311504890624,0.124,0.093,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RSPRY1",0.122714812971125,-0.172642345437931,0.284,0.309,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"STXBP3",0.122715317706946,-0.241306629190719,0.358,0.383,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NDUFAF7",0.122827649042761,0.35571433680302,0.151,0.114,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CATSPERG",0.123125824410988,0.384582652587473,0.161,0.124,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"EID3",0.123167229648295,-0.104063668454026,0.228,0.26,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000257027",0.12328966273509,0.201794956349755,0.421,0.367,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"WRNIP1",0.123428765436174,0.266416038849381,0.16,0.123,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"AGK",0.123432264723876,0.413464781687336,0.3,0.253,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"MIR222HG",0.123450377742802,0.255444936066702,0.598,0.557,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000275895",0.123499339173146,0.227466845650754,0.108,0.118,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"APOO",0.123531431990352,0.470097275943359,0.105,0.075,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"WNT5B",0.123534336167419,0.336516683210922,0.243,0.212,1,NA,NA,NA,"CD14_Mono_Infl","week12"
